"Year","Continent","Alc"
"2000","Europe",11.4117618333333
"2000","Africa",4.35658884615385
"2000","Asia",2.44935357575758
"2005","Europe",11.53710125
"2005","Africa",4.24024455128205
"2005","Asia",2.55733866666667
"2010","Europe",11.4470136666667
"2010","Africa",4.31157032051282
"2010","Asia",2.7547936969697
"2015","Europe",11.0062529166667
"2015","Africa",4.34181012820513
"2015","Asia",2.96737309090909
"2019","Europe",10.90792975
"2019","Africa",4.26857192307692
"2019","Asia",2.97459545454545
